Surname,Firstname,Email,Phone,City,State
Dupont,Jean,jean.dupont@example.com,0612345678,Paris,FR
Martin,Sophie,sophie.martin@example.com,0678451236,Lyon,FR
Bernard,Luc,luc.bernard@example.com,0622334455,Marseille,FR
Petit,Emma,emma.petit@example.com,0655667788,Toulouse,FR
Robert,Thomas,thomas.robert@example.com,0601020304,Nantes,FR
Richard,Claire,claire.richard@example.com,0699887766,Lille,FR
Durand,Paul,paul.durand@example.com,0611223344,Bordeaux,FR
Moreau,Julie,julie.moreau@example.com,0688776655,Rennes,FR
Simon,Alexandre,alex.simon@example.com,0677001122,Strasbourg,FR
Laurent,Chloé,chloe.laurent@example.com,0644556677,Grenoble,FR

